"DeletedDateTime","Description","DisplayName","Id","Members","RoleTemplateId","ScopedMembers","AdditionalProperties"
,"Customize sign in and sign up experiences for users by creating and managing custom authentication extensions.","Authentication Extensibility Administrator","021b6888-89c4-4c12-9538-befb1b39e285",,"25a516ed-2fa0-40ea-a2d0-12923a21473a",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can create and manage all aspects of attack simulation campaigns.","Attack Simulation Administrator","0b0764ec-d5f6-4ef3-8eb2-a0257d16e0b3",,"c430b396-e693-46cc-96f3-db01bf8bb62a",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Read custom security attribute keys and values for supported Microsoft Entra objects.","Attribute Assignment Reader","0fad5531-80bc-40b1-b10b-98adaa3e6f07",,"ffd52fa5-98dc-465c-991d-fc073eb59f8f",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can manage all aspects of Microsoft Entra ID and Microsoft services that use Microsoft Entra identities.","Global Administrator","17af4e2d-65bc-4d0b-82db-6b1742112c69",,"62e90394-69f5-4237-9190-012177145e10",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can create and manage all aspects of app registrations and enterprise apps.","Application Administrator","1823d015-f704-4b2c-b589-75ded349fcb5",,"9b895d92-2cd3-44c7-9d02-a6ac2d5ea5c3",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can manage secrets for federation and encryption in the Identity Experience Framework (IEF).","B2C IEF Keyset Administrator","18ffcec9-ac28-486a-a9a0-a3b80c2832eb",,"aaf43236-0c0d-4d5f-883a-6955382ac081",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Create and manage all aspects of Global Secure Internet Access and Microsoft Global Secure Private Access, including managing access to public and private endpoints.","Global Secure Access Administrator","2136d803-7385-43b0-957e-be3ea25a206a",,"ac434307-12b9-4fa1-a708-88bf58caabc1",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can manage calling and meetings features within the Microsoft Teams service.","Teams Communications Administrator","2146c0d2-efaf-432f-a13e-a74852a94675",,"baf37b3a-610e-45da-9e62-d9d1e5e8914b",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can create and manage trust framework policies in the Identity Experience Framework (IEF).","B2C IEF Policy Administrator","240d4c41-be50-4f10-be5e-a61aba1f2d9a",,"3edaf663-341e-4475-9f94-5c398ef6c070",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can manage all aspects of printers and printer connectors.","Printer Administrator","25a426fb-ee83-4ce3-8b25-d05037199728",,"644ef478-e28f-4e28-b9dc-3fdde9aa0b1f",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Manage all aspects of Entra Permissions Management.","Permissions Management Administrator","2733f7ce-205d-48db-8709-d01b82b167e8",,"af78dc32-cf4d-46f9-ba4e-4428526346b5",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can approve Microsoft support requests to access customer organizational data.","Customer LockBox Access Approver","28fe96fe-16a9-4ac3-859a-e457cd7910eb",,"5c4f9dcd-47dc-4cf7-8c9a-9e4207cbfc91",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
